Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
662fc668aee409be214768a6,5dd4767b32288646716dc98a,APPROVED,Not Applicable,2024-04-29T16:10:32.605000Z,2024-04-29T16:42:56.726000Z,2024-04-30T17:22:00.587000Z,2024-04-29T16:43:02.557243Z,1945.0,CJFYZJY7,6484,50,Female,White,Ukraine,United States,United States,English,No,Part-Time
6630b55327a6f378c58b3985,5cfb82a12bcca70018252f81,APPROVED,Not Applicable,2024-04-30T09:09:52.144000Z,2024-04-30T09:37:48.989000Z,2024-04-30T17:22:00.820000Z,2024-04-30T09:37:49.544789Z,1677.0,CJFYZJY7,517,28,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
6630b55ae58590f940ad87cb,650ee274aa4447ac435b7830,APPROVED,Not Applicable,2024-04-30T09:09:46.086000Z,2024-04-30T09:39:16.772000Z,2024-04-30T17:22:01.021000Z,2024-04-30T09:39:17.340885Z,1771.0,CJFYZJY7,1013,23,Male,White,United States,United States,United States,English,Yes,Part-Time
6630b55bdf225636521a8927,63316daa57747115376760da,APPROVED,Not Applicable,2024-04-30T09:10:09.807000Z,2024-04-30T09:44:15.206000Z,2024-04-30T17:22:01.278000Z,2024-04-30T09:44:16.198533Z,2046.0,CJFYZJY7,2654,53,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6630e2754d803fd6f0677a5f,631c8e97db06f601f81bd82f,APPROVED,Not Applicable,2024-04-30T12:22:15.157000Z,2024-04-30T13:10:53.051000Z,2024-04-30T16:30:00.129000Z,2024-04-30T13:12:59.720742Z,2918.0,NOCODE,5351,27,Male,White,United States,United States,United States,English,No,Full-Time
6630e27e51217ea829cbccb0,5c5ac2869d974300015d81fc,APPROVED,Not Applicable,2024-04-30T12:24:31.662000Z,2024-04-30T12:50:17.849000Z,2024-04-30T17:22:01.658000Z,2024-04-30T13:01:12.747541Z,1547.0,CJFYZJY7,2259,37,Male,White,United States,United States,United States,English,No,Part-Time
6634d12a47e5c2f619f9d905,5fa4c21a04bc5912180291bc,APPROVED,Not Applicable,2024-05-03T11:57:40.028000Z,2024-05-03T12:57:26.933000Z,2024-05-03T15:38:50.561000Z,2024-05-03T12:57:27.936672Z,3587.0,CJFYZJY7,6649,42,Male,Black,United States,United States,United States,English,No,Full-Time
65c3a2f71f0d0fdef8332777,6543f7e306c0fc611aafc81d,APPROVED,Not Applicable,2024-02-07T15:34:19.530000Z,2024-02-07T15:56:42.139000Z,2024-02-07T16:22:05.883000Z,2024-02-07T15:56:42.731302Z,1343.0,CJFYZJY7,228,30,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
65c3ae4677d22ed6807e632a,5b72e0698bca7e000103215c,APPROVED,Not Applicable,2024-02-07T16:22:35.196000Z,2024-02-07T16:39:32.613000Z,2024-02-07T16:56:06.334000Z,2024-02-07T16:39:33.171454Z,1018.0,CJFYZJY7,238,27,Male,Asian,United States,United States,United States,English,No,Part-Time
65c3b307d04d5f08a6399df7,6111234ac8cfa49e38acbfb4,APPROVED,Not Applicable,2024-02-07T16:42:50.333000Z,2024-02-07T17:02:18.023000Z,2024-02-07T17:25:10.628000Z,2024-02-07T17:02:18.737530Z,1168.0,CJFYZJY7,2806,24,Female,White,United States,United States,United States,English,No,Full-Time
65c4d6063817e8a4aedf9c6a,6316c38449466a362ee07be9,APPROVED,Not Applicable,2024-02-08T13:30:58.244000Z,2024-02-08T14:09:23.193000Z,2024-02-08T14:14:29.032000Z,2024-02-08T14:09:24.095409Z,2305.0,CJFYZJY7,1751,20,Male,White,United States,United States,United States,English,Yes,Part-Time
65c4d62683fc555b54aee79e,5dd31760fb7d41000c6610e3,APPROVED,Not Applicable,2024-02-08T13:25:09.102000Z,2024-02-08T13:50:00.316000Z,2024-02-08T14:14:29.374000Z,2024-02-08T13:50:00.803034Z,1492.0,CJFYZJY7,1790,34,Female,White,United States,United States,United States,English,No,Part-Time
65d763b4a7933ac2eaec1b3e,5d4869cc692e5400197a980c,APPROVED,Not Applicable,2024-02-22T15:17:58.326000Z,2024-02-22T15:44:53.286000Z,2024-02-22T16:43:15.394000Z,2024-02-22T15:44:53.878018Z,1615.0,CJFYZJY7,802,26,Male,White,United States,United States,United States,English,No,Part-Time
65d763b5534eb948d102e3bf,5b33a01fa8327d0001003821,APPROVED,Not Applicable,2024-02-22T15:10:02.985000Z,2024-02-22T15:58:43.450000Z,2024-02-22T16:43:15.751000Z,2024-02-22T15:58:44.109937Z,2921.0,CJFYZJY7,5983,70,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
